GID_nmbr,iso3,Country,Subnat,slope,geometry,Year,GDP_per_Capita
129.0,MNE,Montenegro,,0.00979,"MULTIPOLYGON (((19 43.583333333333336, 19.083333333333314 43.583333333333336, 19.083333333333314 43.5, 19.166666666666657 43.5, 19.166666666666657 43.41666666666667, 19.416666666666657 43.41666666666667, 19.416666666666657 43.333333333333336, 19.5 43.333333333333336, 19.5 43.25, 19.583333333333314 43.25, 19.583333333333314 43.16666666666667, 19.75 43.16666666666667, 19.75 43.083333333333336, 20 43.083333333333336, 20 43, 20.083333333333314 43, 20.083333333333314 42.91666666666667, 20.333333333333314 42.91666666666667, 20.333333333333314 42.833333333333336, 20.25 42.833333333333336, 20.25 42.75, 20 42.75, 20 42.66666666666667, 20.083333333333314 42.66666666666667, 20.083333333333314 42.583333333333336, 20 42.583333333333336, 20 42.5, 19.75 42.5, 19.75 42.66666666666667, 19.666666666666657 42.66666666666667, 19.666666666666657 42.583333333333336, 19.583333333333314 42.583333333333336, 19.583333333333314 42.5, 19.5 42.5, 19.5 42.41666666666667, 19.416666666666657 42.41666666666667, 19.416666666666657 42.25, 19.333333333333314 42.25, 19.333333333333314 42.083333333333336, 19.416666666666657 42.083333333333336, 19.416666666666657 42, 19.333333333333314 42, 19.333333333333314 41.833333333333336, 19.25 41.833333333333336, 19.25 41.91666666666667, 19.083333333333314 41.91666666666667, 19.083333333333314 42.083333333333336, 19 42.083333333333336, 19 42.16666666666667, 18.833333333333314 42.16666666666667, 18.833333333333314 42.25, 18.666666666666657 42.25, 18.666666666666657 42.333333333333336, 18.5 42.333333333333336, 18.5 42.583333333333336, 18.583333333333314 42.583333333333336, 18.583333333333314 42.75, 18.5 42.75, 18.5 43, 18.666666666666657 43, 18.666666666666657 43.25, 18.75 43.25, 18.75 43.333333333333336, 19 43.333333333333336, 19 43.25, 19.083333333333314 43.25, 19.083333333333314 43.41666666666667, 19 43.41666666666667, 19 43.583333333333336)))",2020,18259.0
1022001.0,BIH,Bosnia and Herzegovina,Brčko,0.01711,"MULTIPOLYGON (((18.666666666666657 45, 18.75 45, 18.75 44.91666666666667, 18.833333333333314 44.91666666666667, 18.833333333333314 44.833333333333336, 18.916666666666657 44.833333333333336, 18.916666666666657 44.75, 18.5 44.75, 18.5 44.833333333333336, 18.583333333333314 44.833333333333336, 18.583333333333314 44.91666666666667, 18.666666666666657 44.91666666666667, 18.666666666666657 45)))",2020,14905.0
1022002.0,BIH,Bosnia and Herzegovina,Federacija Bosna i Hercegovina,0.01861,"MULTIPOLYGON (((18.25 45.083333333333336, 18.25 45, 18.416666666666657 45, 18.416666666666657 45.083333333333336, 18.25 45.083333333333336)), ((18.5 45.083333333333336, 18.5 45, 18.666666666666657 45, 18.666666666666657 45.083333333333336, 18.5 45.083333333333336)), ((18.666666666666657 43.75, 19 43.75, 19 43.66666666666667, 18.916666666666657 43.66666666666667, 18.916666666666657 43.583333333333336, 18.583333333333314 43.583333333333336, 18.583333333333314 43.66666666666667, 18.666666666666657 43.66666666666667, 18.666666666666657 43.75)), ((15.833333333333314 45.25, 16 45.25, 16 45.16666666666667, 16.083333333333314 45.16666666666667, 16.083333333333314 45.083333333333336, 16.166666666666657 45.083333333333336, 16.166666666666657 44.91666666666667, 16.333333333333314 44.91666666666667, 16.333333333333314 44.833333333333336, 16.75 44.833333333333336, 16.75 44.75, 16.833333333333314 44.75, 16.833333333333314 44.5, 16.5 44.5, 16.5 44.41666666666667, 16.583333333333314 44.41666666666667, 16.583333333333314 44.333333333333336, 16.75 44.333333333333336, 16.75 44.25, 16.916666666666657 44.25, 16.916666666666657 44.16666666666667, 17 44.16666666666667, 17 44.083333333333336, 17.25 44.083333333333336, 17.25 44.333333333333336, 17.166666666666657 44.333333333333336, 17.166666666666657 44.41666666666667, 17.5 44.41666666666667, 17.5 44.333333333333336, 17.666666666666657 44.333333333333336, 17.666666666666657 44.41666666666667, 17.916666666666657 44.41666666666667, 17.916666666666657 44.75, 18 44.75, 18 44.66666666666667, 18.083333333333314 44.66666666666667, 18.083333333333314 44.583333333333336, 18.333333333333314 44.583333333333336, 18.333333333333314 44.66666666666667, 18.166666666666657 44.66666666666667, 18.166666666666657 44.833333333333336, 18.333333333333314 44.833333333333336, 18.333333333333314 44.91666666666667, 18.5 44.91666666666667, 18.5 44.75, 18.75 44.75, 18.75 44.583333333333336, 19 44.583333333333336, 19 44.41666666666667, 18.75 44.41666666666667, 18.75 44.25, 18.833333333333314 44.25, 18.833333333333314 44.16666666666667, 18.666666666666657 44.16666666666667, 18.666666666666657 44.083333333333336, 18.583333333333314 44.083333333333336, 18.583333333333314 44, 18.5 44, 18.5 43.91666666666667, 18.416666666666657 43.91666666666667, 18.416666666666657 43.833333333333336, 18.333333333333314 43.833333333333336, 18.333333333333314 43.75, 18.583333333333314 43.75, 18.583333333333314 43.66666666666667, 18.333333333333314 43.66666666666667, 18.333333333333314 43.5, 18 43.5, 18 43.25, 17.916666666666657 43.25, 17.916666666666657 43.16666666666667, 18 43.16666666666667, 18 43, 17.916666666666657 43, 17.916666666666657 42.91666666666667, 18 42.91666666666667, 18 42.833333333333336, 17.833333333333314 42.833333333333336, 17.833333333333314 42.91666666666667, 17.666666666666657 42.91666666666667, 17.666666666666657 43.083333333333336, 17.583333333333314 43.083333333333336, 17.583333333333314 43.16666666666667, 17.416666666666657 43.16666666666667, 17.416666666666657 43.25, 17.333333333333314 43.25, 17.333333333333314 43.333333333333336, 17.25 43.333333333333336, 17.25 43.5, 17.083333333333314 43.5, 17.083333333333314 43.583333333333336, 17 43.583333333333336, 17 43.66666666666667, 16.833333333333314 43.66666666666667, 16.833333333333314 43.75, 16.75 43.75, 16.75 43.833333333333336, 16.666666666666657 43.833333333333336, 16.666666666666657 43.91666666666667, 16.583333333333314 43.91666666666667, 16.583333333333314 44, 16.5 44, 16.5 44.083333333333336, 16.333333333333314 44.083333333333336, 16.333333333333314 44.16666666666667, 16.25 44.16666666666667, 16.25 44.25, 16.166666666666657 44.25, 16.166666666666657 44.5, 16.083333333333314 44.5, 16.083333333333314 44.66666666666667, 15.916666666666657 44.66666666666667, 15.916666666666657 44.75, 15.75 44.75, 15.75 45.16666666666667, 15.833333333333314 45.16666666666667, 15.833333333333314 45.25)), ((18 42.833333333333336, 18 42.75, 18.083333333333314 42.75, 18.083333333333314 42.833333333333336, 18 42.833333333333336)), ((18.083333333333314 42.75, 18.083333333333314 42.66666666666667, 18.166666666666657 42.66666666666667, 18.166666666666657 42.75, 18.083333333333314 42.75)))",2020,14979.0
1022003.0,BIH,Bosnia and Herzegovina,Repuplika Srpska,0.02364,"MULTIPOLYGON (((16.5 45.25, 16.666666666666657 45.25, 16.666666666666657 45.16666666666667, 16.833333333333314 45.16666666666667, 16.833333333333314 45.25, 17 45.25, 17 45.16666666666667, 17.5 45.16666666666667, 17.5 45.083333333333336, 18 45.083333333333336, 18 45.16666666666667, 18.083333333333314 45.16666666666667, 18.083333333333314 45.083333333333336, 18.25 45.083333333333336, 18.25 45, 18.416666666666657 45, 18.416666666666657 45.083333333333336, 18.5 45.083333333333336, 18.5 45, 18.666666666666657 45, 18.666666666666657 44.91666666666667, 18.583333333333314 44.91666666666667, 18.583333333333314 44.833333333333336, 18.5 44.833333333333336, 18.5 44.91666666666667, 18.333333333333314 44.91666666666667, 18.333333333333314 44.833333333333336, 18.166666666666657 44.833333333333336, 18.166666666666657 44.66666666666667, 18.333333333333314 44.66666666666667, 18.333333333333314 44.583333333333336, 18.083333333333314 44.583333333333336, 18.083333333333314 44.66666666666667, 18 44.66666666666667, 18 44.75, 17.916666666666657 44.75, 17.916666666666657 44.41666666666667, 17.666666666666657 44.41666666666667, 17.666666666666657 44.333333333333336, 17.5 44.333333333333336, 17.5 44.41666666666667, 17.166666666666657 44.41666666666667, 17.166666666666657 44.333333333333336, 17.25 44.333333333333336, 17.25 44.083333333333336, 17 44.083333333333336, 17 44.16666666666667, 16.916666666666657 44.16666666666667, 16.916666666666657 44.25, 16.75 44.25, 16.75 44.333333333333336, 16.583333333333314 44.333333333333336, 16.583333333333314 44.41666666666667, 16.5 44.41666666666667, 16.5 44.5, 16.833333333333314 44.5, 16.833333333333314 44.75, 16.75 44.75, 16.75 44.833333333333336, 16.333333333333314 44.833333333333336, 16.333333333333314 44.91666666666667, 16.166666666666657 44.91666666666667, 16.166666666666657 45, 16.333333333333314 45, 16.333333333333314 45.083333333333336, 16.416666666666657 45.083333333333336, 16.416666666666657 45.16666666666667, 16.5 45.16666666666667, 16.5 45.25)), ((19.083333333333314 44.91666666666667, 19.333333333333314 44.91666666666667, 19.333333333333314 44.66666666666667, 19.25 44.66666666666667, 19.25 44.583333333333336, 19.166666666666657 44.583333333333336, 19.166666666666657 44.41666666666667, 19.083333333333314 44.41666666666667, 19.083333333333314 44.333333333333336, 19.166666666666657 44.333333333333336, 19.166666666666657 44.25, 19.333333333333314 44.25, 19.333333333333314 44.16666666666667, 19.5 44.16666666666667, 19.5 44.083333333333336, 19.583333333333314 44.083333333333336, 19.583333333333314 44, 19.25 44, 19.25 43.91666666666667, 19.333333333333314 43.91666666666667, 19.333333333333314 43.833333333333336, 19.416666666666657 43.833333333333336, 19.416666666666657 43.75, 19.5 43.75, 19.5 43.583333333333336, 19.25 43.583333333333336, 19.25 43.5, 19.083333333333314 43.5, 19.083333333333314 43.583333333333336, 19 43.583333333333336, 19 43.41666666666667, 19.083333333333314 43.41666666666667, 19.083333333333314 43.25, 19 43.25, 19 43.333333333333336, 18.75 43.333333333333336, 18.75 43.25, 18.666666666666657 43.25, 18.666666666666657 43, 18.5 43, 18.5 42.75, 18.583333333333314 42.75, 18.583333333333314 42.583333333333336, 18.333333333333314 42.583333333333336, 18.333333333333314 42.66666666666667, 18.166666666666657 42.66666666666667, 18.166666666666657 42.75, 18.083333333333314 42.75, 18.083333333333314 42.833333333333336, 18 42.833333333333336, 18 42.91666666666667, 17.916666666666657 42.91666666666667, 17.916666666666657 43, 18 43, 18 43.16666666666667, 17.916666666666657 43.16666666666667, 17.916666666666657 43.25, 18 43.25, 18 43.5, 18.333333333333314 43.5, 18.333333333333314 43.66666666666667, 18.583333333333314 43.66666666666667, 18.583333333333314 43.75, 18.333333333333314 43.75, 18.333333333333314 43.833333333333336, 18.416666666666657 43.833333333333336, 18.416666666666657 43.91666666666667, 18.5 43.91666666666667, 18.5 44, 18.583333333333314 44, 18.583333333333314 44.083333333333336, 18.666666666666657 44.083333333333336, 18.666666666666657 44.16666666666667, 18.833333333333314 44.16666666666667, 18.833333333333314 44.25, 18.75 44.25, 18.75 44.41666666666667, 19 44.41666666666667, 19 44.583333333333336, 18.75 44.583333333333336, 18.75 44.75, 18.916666666666657 44.75, 18.916666666666657 44.833333333333336, 19.083333333333314 44.833333333333336, 19.083333333333314 44.91666666666667), (18.666666666666657 43.75, 18.666666666666657 43.66666666666667, 18.583333333333314 43.66666666666667, 18.583333333333314 43.583333333333336, 18.916666666666657 43.583333333333336, 18.916666666666657 43.66666666666667, 19 43.66666666666667, 19 43.75, 18.666666666666657 43.75)))",2020,13929.0
1083001.0,HRV,Croatia,Grad Zagreb,0.01302,"MULTIPOLYGON (((16.083333333333314 46, 16.166666666666657 46, 16.166666666666657 45.91666666666667, 16.25 45.91666666666667, 16.25 45.833333333333336, 16.166666666666657 45.833333333333336, 16.166666666666657 45.75, 16 45.75, 16 45.66666666666667, 15.833333333333314 45.66666666666667, 15.833333333333314 45.833333333333336, 15.916666666666657 45.833333333333336, 15.916666666666657 45.91666666666667, 16.083333333333314 45.91666666666667, 16.083333333333314 46)))",2020,50900.0
1083002.0,HRV,Croatia,Jadranska Hrvatska,0.01302,"MULTIPOLYGON (((15.666666666666657 43.083333333333336, 15.666666666666657 43, 15.833333333333314 43, 15.833333333333314 43.083333333333336, 15.666666666666657 43.083333333333336)), ((16 43.083333333333336, 16 42.91666666666667, 16.083333333333314 42.91666666666667, 16.083333333333314 43, 16.25 43, 16.25 43.083333333333336, 16 43.083333333333336)), ((14.5 45.66666666666667, 14.583333333333314 45.66666666666667, 14.583333333333314 45.583333333333336, 14.75 45.583333333333336, 14.75 45.5, 15.083333333333314 45.5, 15.083333333333314 45.41666666666667, 15.25 45.41666666666667, 15.25 45.333333333333336, 15 45.333333333333336, 15 45.083333333333336, 15.333333333333314 45.083333333333336, 15.333333333333314 45, 15.416666666666657 45, 15.416666666666657 44.91666666666667, 15.75 44.91666666666667, 15.75 44.75, 15.916666666666657 44.75, 15.916666666666657 44.66666666666667, 16.083333333333314 44.66666666666667, 16.083333333333314 44.5, 16.166666666666657 44.5, 16.166666666666657 44.25, 16.25 44.25, 16.25 44.16666666666667, 16.333333333333314 44.16666666666667, 16.333333333333314 44.083333333333336, 16.5 44.083333333333336, 16.5 44, 16.583333333333314 44, 16.583333333333314 43.91666666666667, 16.666666666666657 43.91666666666667, 16.666666666666657 43.833333333333336, 16.75 43.833333333333336, 16.75 43.75, 16.833333333333314 43.75, 16.833333333333314 43.66666666666667, 17 43.66666666666667, 17 43.583333333333336, 17.083333333333314 43.583333333333336, 17.083333333333314 43.5, 17.25 43.5, 17.25 43.333333333333336, 17.333333333333314 43.333333333333336, 17.333333333333314 43.25, 17.416666666666657 43.25, 17.416666666666657 43.16666666666667, 17.583333333333314 43.16666666666667, 17.583333333333314 43.083333333333336, 17.666666666666657 43.083333333333336, 17.666666666666657 42.91666666666667, 17.833333333333314 42.91666666666667, 17.833333333333314 42.833333333333336, 18 42.833333333333336, 18 42.75, 18.083333333333314 42.75, 18.083333333333314 42.66666666666667, 18.333333333333314 42.66666666666667, 18.333333333333314 42.583333333333336, 18.5 42.583333333333336, 18.5 42.41666666666667, 18.333333333333314 42.41666666666667, 18.333333333333314 42.5, 18.166666666666657 42.5, 18.166666666666657 42.583333333333336, 18 42.583333333333336, 18 42.66666666666667, 17.416666666666657 42.66666666666667, 17.416666666666657 42.75, 17.333333333333314 42.75, 17.333333333333314 42.833333333333336, 17.416666666666657 42.833333333333336, 17.416666666666657 42.91666666666667, 16.916666666666657 42.91666666666667, 16.916666666666657 42.833333333333336, 17 42.833333333333336, 17 42.66666666666667, 16.75 42.66666666666667, 16.75 42.91666666666667, 16.583333333333314 42.91666666666667, 16.583333333333314 43, 17 43, 17 43.083333333333336, 16.5 43.083333333333336, 16.5 43.16666666666667, 16.416666666666657 43.16666666666667, 16.416666666666657 43.083333333333336, 16.333333333333314 43.083333333333336, 16.333333333333314 43.25, 16.416666666666657 43.25, 16.416666666666657 43.333333333333336, 16.166666666666657 43.333333333333336, 16.166666666666657 43.41666666666667, 16 43.41666666666667, 16 43.5, 15.916666666666657 43.5, 15.916666666666657 43.66666666666667, 15.75 43.66666666666667, 15.75 43.583333333333336, 15.583333333333314 43.583333333333336, 15.583333333333314 43.66666666666667, 15.333333333333314 43.66666666666667, 15.333333333333314 43.75, 15.166666666666657 43.75, 15.166666666666657 43.833333333333336, 15.083333333333314 43.833333333333336, 15.083333333333314 43.91666666666667, 15 43.91666666666667, 15 44, 14.916666666666657 44, 14.916666666666657 44.083333333333336, 14.833333333333314 44.083333333333336, 14.833333333333314 44.16666666666667, 14.75 44.16666666666667, 14.75 44.25, 14.583333333333314 44.25, 14.583333333333314 44.41666666666667, 14.5 44.41666666666667, 14.5 44.5, 14.25 44.5, 14.25 44.583333333333336, 14.166666666666657 44.583333333333336, 14.166666666666657 44.66666666666667, 14.25 44.66666666666667, 14.25 45.083333333333336, 14.166666666666657 45.083333333333336, 14.166666666666657 44.91666666666667, 14.083333333333314 44.91666666666667, 14.083333333333314 44.833333333333336, 14 44.833333333333336, 14 44.75, 13.833333333333314 44.75, 13.833333333333314 44.833333333333336, 13.75 44.833333333333336, 13.75 44.91666666666667, 13.666666666666657 44.91666666666667, 13.666666666666657 45, 13.583333333333314 45, 13.583333333333314 45.25, 13.5 45.25, 13.5 45.5, 13.666666666666657 45.5, 13.666666666666657 45.41666666666667, 14 45.41666666666667, 14 45.5, 14.5 45.5, 14.5 45.66666666666667), (14.333333333333314 45.333333333333336, 14.333333333333314 45.25, 14.25 45.25, 14.25 45.16666666666667, 14.5 45.16666666666667, 14.5 45.25, 14.416666666666657 45.25, 14.416666666666657 45.333333333333336, 14.333333333333314 45.333333333333336), (14.5 44.91666666666667, 14.5 44.66666666666667, 14.583333333333314 44.66666666666667, 14.583333333333314 44.41666666666667, 14.833333333333314 44.41666666666667, 14.833333333333314 44.583333333333336, 14.75 44.583333333333336, 14.75 44.66666666666667, 14.666666666666657 44.66666666666667, 14.666666666666657 44.91666666666667, 14.5 44.91666666666667), (14.833333333333314 44.41666666666667, 14.833333333333314 44.25, 15 44.25, 15 44.333333333333336, 14.916666666666657 44.333333333333336, 14.916666666666657 44.41666666666667, 14.833333333333314 44.41666666666667), (15 44.25, 15 44.16666666666667, 15.083333333333314 44.16666666666667, 15.083333333333314 44.25, 15 44.25), (15.416666666666657 43.833333333333336, 15.416666666666657 43.75, 15.5 43.75, 15.5 43.833333333333336, 15.416666666666657 43.833333333333336), (16.416666666666657 43.5, 16.416666666666657 43.41666666666667, 16.5 43.41666666666667, 16.5 43.5, 16.416666666666657 43.5), (16.75 43.25, 16.75 43.16666666666667, 17.083333333333314 43.16666666666667, 17.083333333333314 43.25, 16.75 43.25)), ((16.25 42.41666666666667, 16.25 42.333333333333336, 16.333333333333314 42.333333333333336, 16.333333333333314 42.41666666666667, 16.25 42.41666666666667)))",2020,24548.0
1083003.0,HRV,Croatia,Panonska Hrvatska,0.01302,"MULTIPOLYGON (((15.25 45.75, 15.25 45.66666666666667, 15.333333333333314 45.66666666666667, 15.333333333333314 45.75, 15.25 45.75)), ((16.75 46.083333333333336, 16.916666666666657 46.083333333333336, 16.916666666666657 46, 17 46, 17 45.91666666666667, 17.166666666666657 45.91666666666667, 17.166666666666657 46, 17.416666666666657 46, 17.416666666666657 45.91666666666667, 17.666666666666657 45.91666666666667, 17.666666666666657 45.833333333333336, 17.833333333333314 45.833333333333336, 17.833333333333314 45.75, 18.5 45.75, 18.5 45.833333333333336, 18.666666666666657 45.833333333333336, 18.666666666666657 45.91666666666667, 18.916666666666657 45.91666666666667, 18.916666666666657 45.5, 19 45.5, 19 45.333333333333336, 19.166666666666657 45.333333333333336, 19.166666666666657 45.25, 19.416666666666657 45.25, 19.416666666666657 45.16666666666667, 19.083333333333314 45.16666666666667, 19.083333333333314 44.91666666666667, 19 44.91666666666667, 19 44.833333333333336, 18.833333333333314 44.833333333333336, 18.833333333333314 44.91666666666667, 18.75 44.91666666666667, 18.75 45, 18.666666666666657 45, 18.666666666666657 45.083333333333336, 18.083333333333314 45.083333333333336, 18.083333333333314 45.16666666666667, 18 45.16666666666667, 18 45.083333333333336, 17.5 45.083333333333336, 17.5 45.16666666666667, 17 45.16666666666667, 17 45.25, 16.833333333333314 45.25, 16.833333333333314 45.16666666666667, 16.666666666666657 45.16666666666667, 16.666666666666657 45.25, 16.5 45.25, 16.5 45.16666666666667, 16.416666666666657 45.16666666666667, 16.416666666666657 45.083333333333336, 16.333333333333314 45.083333333333336, 16.333333333333314 45, 16.166666666666657 45, 16.166666666666657 45.083333333333336, 16.083333333333314 45.083333333333336, 16.083333333333314 45.16666666666667, 16 45.16666666666667, 16 45.25, 15.833333333333314 45.25, 15.833333333333314 45.16666666666667, 15.75 45.16666666666667, 15.75 44.91666666666667, 15.416666666666657 44.91666666666667, 15.416666666666657 45, 15.333333333333314 45, 15.333333333333314 45.083333333333336, 15 45.083333333333336, 15 45.333333333333336, 15.25 45.333333333333336, 15.25 45.5, 15.333333333333314 45.5, 15.333333333333314 45.66666666666667, 15.5 45.66666666666667, 15.5 45.583333333333336, 15.75 45.583333333333336, 15.75 45.5, 16.083333333333314 45.5, 16.083333333333314 45.583333333333336, 16.333333333333314 45.583333333333336, 16.333333333333314 45.66666666666667, 16.416666666666657 45.66666666666667, 16.416666666666657 45.583333333333336, 16.583333333333314 45.583333333333336, 16.583333333333314 45.75, 16.5 45.75, 16.5 45.833333333333336, 16.666666666666657 45.833333333333336, 16.666666666666657 46, 16.75 46, 16.75 46.083333333333336)))",2020,17475.0
1083004.0,HRV,Croatia,Sjeverna Hrvatska,0.01345,"MULTIPOLYGON (((16.25 46.5, 16.666666666666657 46.5, 16.666666666666657 46.41666666666667, 16.833333333333314 46.41666666666667, 16.833333333333314 46.333333333333336, 16.916666666666657 46.333333333333336, 16.916666666666657 46.25, 17 46.25, 17 46.16666666666667, 17.166666666666657 46.16666666666667, 17.166666666666657 46.083333333333336, 17.25 46.083333333333336, 17.25 46, 17.166666666666657 46, 17.166666666666657 45.91666666666667, 17 45.91666666666667, 17 46, 16.916666666666657 46, 16.916666666666657 46.083333333333336, 16.75 46.083333333333336, 16.75 46, 16.666666666666657 46, 16.666666666666657 45.833333333333336, 16.5 45.833333333333336, 16.5 45.75, 16.583333333333314 45.75, 16.583333333333314 45.583333333333336, 16.416666666666657 45.583333333333336, 16.416666666666657 45.66666666666667, 16.333333333333314 45.66666666666667, 16.333333333333314 45.583333333333336, 16.083333333333314 45.583333333333336, 16.083333333333314 45.5, 15.75 45.5, 15.75 45.583333333333336, 15.5 45.583333333333336, 15.5 45.66666666666667, 15.333333333333314 45.66666666666667, 15.333333333333314 45.75, 15.416666666666657 45.75, 15.416666666666657 45.833333333333336, 15.666666666666657 45.833333333333336, 15.666666666666657 46.083333333333336, 15.583333333333314 46.083333333333336, 15.583333333333314 46.16666666666667, 15.666666666666657 46.16666666666667, 15.666666666666657 46.25, 15.916666666666657 46.25, 15.916666666666657 46.333333333333336, 16.083333333333314 46.333333333333336, 16.083333333333314 46.41666666666667, 16.25 46.41666666666667, 16.25 46.5), (16.083333333333314 46, 16.083333333333314 45.91666666666667, 15.916666666666657 45.91666666666667, 15.916666666666657 45.833333333333336, 15.833333333333314 45.833333333333336, 15.833333333333314 45.66666666666667, 16 45.66666666666667, 16 45.75, 16.166666666666657 45.75, 16.166666666666657 45.833333333333336, 16.25 45.833333333333336, 16.25 45.91666666666667, 16.166666666666657 45.91666666666667, 16.166666666666657 46, 16.083333333333314 46)))",2020,22329.0
1174001.0,SRB,Serbia,Autonomous Province of Vojvodina,0.01347,"MULTIPOLYGON (((19 44.91666666666667, 19 44.833333333333336, 19.083333333333314 44.833333333333336, 19.083333333333314 44.91666666666667, 19 44.91666666666667)), ((19.5 46.16666666666667, 20.25 46.16666666666667, 20.25 46.083333333333336, 20.333333333333314 46.083333333333336, 20.333333333333314 46, 20.416666666666657 46, 20.416666666666657 45.91666666666667, 20.583333333333314 45.91666666666667, 20.583333333333314 45.833333333333336, 20.666666666666657 45.833333333333336, 20.666666666666657 45.75, 20.833333333333314 45.75, 20.833333333333314 45.66666666666667, 20.75 45.66666666666667, 20.75 45.583333333333336, 20.833333333333314 45.583333333333336, 20.833333333333314 45.41666666666667, 21 45.41666666666667, 21 45.333333333333336, 21.166666666666657 45.333333333333336, 21.166666666666657 45.25, 21.416666666666657 45.25, 21.416666666666657 45.16666666666667, 21.5 45.16666666666667, 21.5 45.083333333333336, 21.416666666666657 45.083333333333336, 21.416666666666657 45, 21.5 45, 21.5 44.833333333333336, 21.25 44.833333333333336, 21.25 44.75, 21 44.75, 21 44.66666666666667, 20.666666666666657 44.66666666666667, 20.666666666666657 44.833333333333336, 20.583333333333314 44.833333333333336, 20.583333333333314 44.91666666666667, 20.5 44.91666666666667, 20.5 45, 20.416666666666657 45, 20.416666666666657 45.083333333333336, 20.333333333333314 45.083333333333336, 20.333333333333314 45, 20.25 45, 20.25 44.91666666666667, 20.166666666666657 44.91666666666667, 20.166666666666657 44.833333333333336, 20.083333333333314 44.833333333333336, 20.083333333333314 44.66666666666667, 19.833333333333314 44.66666666666667, 19.833333333333314 44.75, 19.666666666666657 44.75, 19.666666666666657 44.833333333333336, 19.75 44.833333333333336, 19.75 44.91666666666667, 19.083333333333314 44.91666666666667, 19.083333333333314 45.16666666666667, 19.416666666666657 45.16666666666667, 19.416666666666657 45.25, 19.166666666666657 45.25, 19.166666666666657 45.333333333333336, 19 45.333333333333336, 19 45.5, 18.916666666666657 45.5, 18.916666666666657 45.91666666666667, 19 45.91666666666667, 19 46, 19.333333333333314 46, 19.333333333333314 46.083333333333336, 19.5 46.083333333333336, 19.5 46.16666666666667)))",2020,17360.0
1174002.0,SRB,Serbia,City of Belgrade,0.01354,"MULTIPOLYGON (((20.333333333333314 45.083333333333336, 20.416666666666657 45.083333333333336, 20.416666666666657 45, 20.5 45, 20.5 44.91666666666667, 20.583333333333314 44.91666666666667, 20.583333333333314 44.833333333333336, 20.666666666666657 44.833333333333336, 20.666666666666657 44.66666666666667, 20.833333333333314 44.66666666666667, 20.833333333333314 44.583333333333336, 20.75 44.583333333333336, 20.75 44.5, 20.833333333333314 44.5, 20.833333333333314 44.41666666666667, 20.75 44.41666666666667, 20.75 44.333333333333336, 20.666666666666657 44.333333333333336, 20.666666666666657 44.41666666666667, 20.416666666666657 44.41666666666667, 20.416666666666657 44.333333333333336, 20.333333333333314 44.333333333333336, 20.333333333333314 44.25, 20.25 44.25, 20.25 44.5, 20 44.5, 20 44.66666666666667, 20.083333333333314 44.66666666666667, 20.083333333333314 44.833333333333336, 20.166666666666657 44.833333333333336, 20.166666666666657 44.91666666666667, 20.25 44.91666666666667, 20.25 45, 20.333333333333314 45, 20.333333333333314 45.083333333333336)))",2020,31050.0
