TERRITORY_ID,NAME_HTML,UNIT,Year,GDP_Value
HR064,Krapinsko-zagorska županija,Million EUR,1982,
HR065,Zagrebačka županija,Million EUR,1982,
ME000,Crna Gora,Million EUR,1982,
MK001,Vardarski,Million EUR,1982,
MK002,Istocen,Million EUR,1982,
MK003,Jugozapaden,Million EUR,1982,
MK004,Jugoistocen,Million EUR,1982,
MK005,Pelagoniski,Million EUR,1982,
MK006,Poloski,Million EUR,1982,
MK007,Severoistocen,Million EUR,1982,
MK008,Skopski,Million EUR,1982,
RS110,Београдска област,Million EUR,1982,
RS121,Западнобачка област,Million EUR,1982,
RS122,Јужнобанатска област,Million EUR,1982,
RS123,Јужнобачка област,Million EUR,1982,
RS124,Севернобанатска област,Million EUR,1982,
RS125,Севернобачка област,Million EUR,1982,
RS126,Средњобанатска област,Million EUR,1982,
RS127,Сремска област,Million EUR,1982,
RS211,Златиборска област,Million EUR,1982,
RS212,Колубарска област,Million EUR,1982,
RS213,Мачванска област,Million EUR,1982,
RS214,Моравичка област,Million EUR,1982,
RS215,Поморавска област,Million EUR,1982,
RS216,Расинска област,Million EUR,1982,
RS217,Рашка област,Million EUR,1982,
RS218,Шумадијска област,Million EUR,1982,
RS221,Борска област,Million EUR,1982,
RS222,Браничевска област,Million EUR,1982,
RS223,Зајечарска област,Million EUR,1982,
RS224,Јабланичка област,Million EUR,1982,
RS225,Нишавска област,Million EUR,1982,
RS226,Пиротска област,Million EUR,1982,
RS227,Подунавска област,Million EUR,1982,
RS228,Пчињска област,Million EUR,1982,
RS229,Топличка област,Million EUR,1982,
SI031,Pomurska,Million EUR,1982,
SI032,Podravska,Million EUR,1982,
SI033,Koroska,Million EUR,1982,
SI034,Savinjska,Million EUR,1982,
SI035,Zasavska,Million EUR,1982,
SI036,Posavska,Million EUR,1982,
SI037,Jugovzhodna Slovenija,Million EUR,1982,
SI038,Primorsko-notranjska,Million EUR,1982,
SI041,Osrednjeslovenska,Million EUR,1982,
SI042,Gorenjska,Million EUR,1982,
SI043,Goriska,Million EUR,1982,
SI044,Obalno-kraska,Million EUR,1982,
HR021,Bjelovarsko-bilogorska županija,Million EUR,1983,
HR022,Virovitičko-podravska županija,Million EUR,1983,
HR023,Požeško-slavonska županija,Million EUR,1983,
HR024,Brodsko-posavska županija,Million EUR,1983,
HR025,Osječko-baranjska županija,Million EUR,1983,
HR026,Vukovarsko-srijemska županija,Million EUR,1983,
HR027,Karlovačka županija,Million EUR,1983,
HR028,Sisačko-moslavačka županija,Million EUR,1983,
HR031,Primorsko-goranska zupanija,Million EUR,1983,
HR032,Licko-senjska zupanija,Million EUR,1983,
HR033,Zadarska zupanija,Million EUR,1983,
HR034,Sibensko-kninska zupanija,Million EUR,1983,
HR035,Splitsko-dalmatinska zupanija,Million EUR,1983,
HR036,Istarska zupanija,Million EUR,1983,
HR037,Dubrovacko-neretvanska zupanija,Million EUR,1983,
HR050,Grad Zagreb,Million EUR,1983,
HR061,Međimurska županija,Million EUR,1983,
